"zip","id","formattedAddress","addressLine1","addressLine2","city","state","zipCode","county","latitude","longitude","propertyType","listingType","bedrooms","bathrooms","squareFootage","lotSize","yearBuilt","status","price","listedDate","removedDate","daysOnMarket","hoa.fee"
"1","118-Sunset-Dr,-Chester,-SC-29706","118 Sunset Dr, Chester, SC 29706","118 Sunset Dr",NA,"Chester","SC","29706","Chester",34.6951,-81.2086,"Single Family","Standard",3,3,3678,74052,1960,"Inactive",360000,"2025-03-01T00:00:00.000Z","2025-05-31T00:00:00.000Z",91,NA
"1","126-Lowry-St,-Chester,-SC-29706","126 Lowry St, Chester, SC 29706","126 Lowry St",NA,"Chester","SC","29706","Chester",34.7126,-81.217,"Single Family","Standard",3,1,912,8712,1970,"Inactive",150000,"2025-03-03T00:00:00.000Z","2025-05-30T00:00:00.000Z",88,NA
"1","2400-Pressley-Rd,-Chester,-SC-29706","2400 Pressley Rd, Chester, SC 29706","2400 Pressley Rd",NA,"Chester","SC","29706","Chester",34.7588,-81.297,"Single Family","Standard",3,2,1256,95832,1970,"Inactive",228000,"2025-03-11T00:00:00.000Z","2025-05-29T00:00:00.000Z",79,NA
"1","714-Webber-Ave,-Chester,-SC-29706","714 Webber Ave, Chester, SC 29706","714 Webber Ave",NA,"Chester","SC","29706","Chester",34.7053,-81.2458,"Single Family","Standard",2,1,807,6970,1940,"Inactive",138900,"2024-12-17T00:00:00.000Z","2025-05-28T00:00:00.000Z",162,NA
"1","137-Lancaster-St,-Chester,-SC-29706","137 Lancaster St, Chester, SC 29706","137 Lancaster St",NA,"Chester","SC","29706","Chester",34.7049,-81.2,"Single Family","Standard",3,2,2223,23087,1928,"Inactive",195000,"2025-02-22T00:00:00.000Z","2025-05-28T00:00:00.000Z",95,NA
"1","1052-Horizon-Ln,-Chester,-SC-29706","1052 Horizon Ln, Chester, SC 29706","1052 Horizon Ln",NA,"Chester","SC","29706","Chester",34.7197,-81.1855,"Single Family","New Construction",3,2,1182,6534,2025,"Inactive",249000,"2025-01-02T00:00:00.000Z","2025-05-28T00:00:00.000Z",146,67
"1","584-N-Sparkleberry-St,-Chester,-SC-29706","584 N Sparkleberry St, Chester, SC 29706","584 N Sparkleberry St",NA,"Chester","SC","29706","Chester",34.7197,-81.1855,"Single Family","New Construction",3,2,1183,NA,NA,"Inactive",249000,"2025-04-15T00:00:00.000Z","2025-05-28T00:00:00.000Z",43,NA
"1","529-Roundtree-Cir,-Chester,-SC-29706","529 Roundtree Cir, Chester, SC 29706","529 Roundtree Cir",NA,"Chester","SC","29706","Chester",34.72,-81.2034,"Single Family","Standard",3,1.5,1325,10454,1970,"Inactive",118900,"2024-12-04T00:00:00.000Z","2025-05-26T00:00:00.000Z",173,NA
"1","961-Shallowbrook-Dr,-Chester,-SC-29706","961 Shallowbrook Dr, Chester, SC 29706","961 Shallowbrook Dr",NA,"Chester","SC","29706","Chester",34.7414,-81.1591,"Single Family","Standard",3,1.5,1554,84942,1969,"Inactive",274900,"2024-10-30T00:00:00.000Z","2025-05-26T00:00:00.000Z",208,NA
"1","898-Mountain-Lakes-Rd,-Chester,-SC-29706","898 Mountain Lakes Rd, Chester, SC 29706","898 Mountain Lakes Rd",NA,"Chester","SC","29706","Chester",34.6635,-81.2535,"Land","Standard",NA,NA,NA,66211,NA,"Inactive",70000,"2025-03-10T00:00:00.000Z","2025-05-23T00:00:00.000Z",74,NA
"1","1054-Horizon-Ln,-Chester,-SC-29706","1054 Horizon Ln, Chester, SC 29706","1054 Horizon Ln",NA,"Chester","SC","29706","Chester",34.7197,-81.1855,"Single Family","New Construction",4,2.5,1927,5227,2025,"Inactive",290000,"2025-03-27T00:00:00.000Z","2025-05-23T00:00:00.000Z",57,67
"1","1448-Lowrys-Hwy,-Chester,-SC-29706","1448 Lowrys Hwy, Chester, SC 29706","1448 Lowrys Hwy",NA,"Chester","SC","29706","Chester",34.7508,-81.2404,"Single Family","Standard",3,2,1450,48352,1976,"Inactive",265500,"2024-12-02T00:00:00.000Z","2025-05-22T00:00:00.000Z",171,NA
"1","1105-Stanback-Rd,-Chester,-SC-29706","1105 Stanback Rd, Chester, SC 29706","1105 Stanback Rd",NA,"Chester","SC","29706","Chester",34.7409,-81.1906,"Single Family","Standard",3,2,1550,257004,1965,"Inactive",350000,"2025-01-10T00:00:00.000Z","2025-05-22T00:00:00.000Z",132,NA
"1","578-N-Sparkleberry-St,-Chester,-SC-29706","578 N Sparkleberry St, Chester, SC 29706","578 N Sparkleberry St",NA,"Chester","SC","29706","York",34.9955,-81.2054,"Single Family","New Construction",5,3,2368,NA,NA,"Inactive",343990,"2025-05-08T00:00:00.000Z","2025-05-21T00:00:00.000Z",13,NA
"1","115-Pinckney-St,-Chester,-SC-29706","115 Pinckney St, Chester, SC 29706","115 Pinckney St",NA,"Chester","SC","29706","Chester",34.7062,-81.218,"Single Family","Standard",4,2.5,3327,20909,1897,"Inactive",449900,"2025-03-22T00:00:00.000Z","2025-05-20T00:00:00.000Z",59,NA
"1","146-Center-St,-Chester,-SC-29706","146 Center St, Chester, SC 29706","146 Center St",NA,"Chester","SC","29706","Chester",34.7066,-81.2168,"Single Family","Foreclosure",3,2,1426,16117,1920,"Inactive",55000,"2025-05-14T00:00:00.000Z","2025-05-20T00:00:00.000Z",6,NA
"1","Off-Pinckney-Rd,-Chester,-SC-29706","Off Pinckney Rd, Chester, SC 29706","Off Pinckney Rd",NA,"Chester","SC","29706","Chester",34.7061,-81.2478,"Land","Standard",NA,NA,NA,272250,NA,"Inactive",35000,"2024-05-21T00:00:00.000Z","2025-05-17T00:00:00.000Z",361,NA
"1","121-W-End-St,-Chester,-SC-29706","121 W End St, Chester, SC 29706","121 W End St",NA,"Chester","SC","29706","Chester",34.7042,-81.2156,"Single Family","Standard",5,4,3629,37897,1892,"Inactive",315000,"2024-08-14T00:00:00.000Z","2025-05-17T00:00:00.000Z",276,NA
"1","146-Walnut-St,-Chester,-SC-29706","146 Walnut St, Chester, SC 29706","146 Walnut St",NA,"Chester","SC","29706","Chester",34.7085,-81.2076,"Single Family","Standard",4,2,1549,30928,1967,"Inactive",135000,"2025-04-25T00:00:00.000Z","2025-05-13T00:00:00.000Z",18,NA
"1","Darby-Rd,-Chester,-SC-29706","Darby Rd, Chester, SC 29706","Darby Rd",NA,"Chester","SC","29706","Chester",34.7445,-81.1974,"Land","Standard",NA,NA,NA,614632,NA,"Inactive",110000,"2025-05-08T00:00:00.000Z","2025-05-11T00:00:00.000Z",3,NA
"1","816-N-Naughton-St,-Chester,-SC-29706","816 N Naughton St, Chester, SC 29706","816 N Naughton St",NA,"Chester","SC","29706","Chester",34.7208,-81.1822,"Single Family","New Construction",4,2.5,1613,4966,2025,"Inactive",275000,"2025-03-13T00:00:00.000Z","2025-05-06T00:00:00.000Z",54,67
"1","523-Fox-Ave,-Chester,-SC-29706","523 Fox Ave, Chester, SC 29706","523 Fox Ave",NA,"Chester","SC","29706","Chester",34.7173,-81.2004,"Single Family","Standard",5,2,3107,52272,1972,"Inactive",209900,"2024-12-28T00:00:00.000Z","2025-05-04T00:00:00.000Z",127,NA
"1","154-W-End-St,-Chester,-SC-29706","154 W End St, Chester, SC 29706","154 W End St",NA,"Chester","SC","29706","Chester",34.7015,-81.2195,"Single Family","Standard",6,2,3427,31363,1910,"Inactive",135000,"2024-11-14T00:00:00.000Z","2025-05-04T00:00:00.000Z",171,NA
"1","3331-Center-Rd,-Chester,-SC-29706","3331 Center Rd, Chester, SC 29706","3331 Center Rd",NA,"Chester","SC","29706","Chester",34.8096,-81.3659,"Single Family","Standard",3,2,1500,239580,1989,"Inactive",385000,"2025-02-27T00:00:00.000Z","2025-05-03T00:00:00.000Z",65,NA
"1","148-Center-St,-Chester,-SC-29706","148 Center St, Chester, SC 29706","148 Center St",NA,"Chester","SC","29706","Chester",34.7068,-81.2169,"Single Family","Standard",4,2,1762,16117,1889,"Inactive",99900,"2025-02-17T00:00:00.000Z","2025-04-30T00:00:00.000Z",72,NA
"1","1165-Golden-Maple-Ln,-Chester,-SC-29706","1165 Golden Maple Ln, Chester, SC 29706","1165 Golden Maple Ln",NA,"Chester","SC","29706","Chester",34.7477,-81.1665,"Single Family","Standard",3,2.5,1738,98446,2002,"Inactive",275000,"2025-03-10T00:00:00.000Z","2025-04-30T00:00:00.000Z",51,NA
"1","162-Pinckney-St,-Chester,-SC-29706","162 Pinckney St, Chester, SC 29706","162 Pinckney St",NA,"Chester","SC","29706","Chester",34.7045,-81.2242,"Single Family","Standard",5,2,1433,41818,1950,"Inactive",175000,"2025-04-02T00:00:00.000Z","2025-04-29T00:00:00.000Z",27,NA
"1","931-Skyline-Dr,-Chester,-SC-29706","931 Skyline Dr, Chester, SC 29706","931 Skyline Dr",NA,"Chester","SC","29706","Chester",34.6704,-81.1919,"Single Family","Standard",3,2,1900,239580,1956,"Inactive",340000,"2025-01-06T00:00:00.000Z","2025-04-24T00:00:00.000Z",108,NA
"1","522-Birdie-Haven-Dr,-Unit-27,-Chester,-SC-29706","522 Birdie Haven Dr, Unit 27, Chester, SC 29706","522 Birdie Haven Dr","Unit 27","Chester","SC","29706","Chester",34.7188,-81.1347,"Single Family","New Construction",3,2,1700,20038,2025,"Inactive",357000,"2025-01-25T00:00:00.000Z","2025-04-22T00:00:00.000Z",87,NA
"1","580-N-Sparkleberry-St,-Chester,-SC-29706","580 N Sparkleberry St, Chester, SC 29706","580 N Sparkleberry St",NA,"Chester","SC","29706","Chester",34.7197,-81.1855,"Single Family","New Construction",4,2.5,2174,4748,2025,"Inactive",305000,"2025-04-13T00:00:00.000Z","2025-04-20T00:00:00.000Z",7,67
"1","113-Brookwood-St,-Chester,-SC-29706","113 Brookwood St, Chester, SC 29706","113 Brookwood St",NA,"Chester","SC","29706","Chester",34.706,-81.2266,"Single Family","Standard",2,1.5,1032,3006,1952,"Inactive",174900,"2024-07-16T00:00:00.000Z","2025-04-18T00:00:00.000Z",276,NA
